ID_REF;MIMAT0005898;MIMAT0005951;MIMAT0019691;MIMAT0027623;MIMAT0027650;ETAT;;
GSM1876422;3.582416921;7.826695547;8.090116662;7.909870605;8.078516547;breast cancer;;
GSM1876423;7.072369142;9.227366496;8.659917892;8.332468706;8.813116526;breast cancer;;
GSM1876424;5.466276503;10.03152992;8.212058746;8.492597278;8.315124765;breast cancer;;
GSM1876425;4.625125401;8.651166753;8.138873228;8.220589762;8.351132579;breast cancer;;
GSM1876426;5.176016114;9.0929354;8.033965938;7.84938922;8.211462416;breast cancer;;
GSM1876427;4.359434359;9.112460221;8.214522455;8.138319653;8.500055266;breast cancer;;
GSM1876428;5.249074411;9.435894326;8.559135388;8.091199105;8.101698813;breast cancer;;
GSM1876429;4.90019813;8.458978296;8.162873076;7.82235862;8.414102653;breast cancer;;
GSM1876430;4.885736705;8.62833973;8.175222151;8.459084924;9.427168404;breast cancer;;
GSM1876431;6.837810261;8.925510552;8.195114094;8.388325333;8.990565588;breast cancer;;
GSM1876432;3.969991844;8.828325065;8.049607306;7.71412963;7.910189075;breast cancer;;
GSM1876433;8.497256277;8.653538353;8.443653096;8.272910194;9.655582825;breast cancer;;
GSM1876434;7.163559582;9.444391953;7.907684515;8.252753046;8.38230797;breast cancer;;
GSM1876435;4.080608118;8.959760825;7.778117737;8.431629274;7.59766337;breast cancer;;
GSM1876436;6.941495763;9.544389895;7.740147005;8.619471578;7.586836494;breast cancer;;
GSM1876437;6.280653108;7.976726759;8.582324211;8.023082746;9.338687377;breast cancer;;
GSM1876438;5.368077409;8.362526463;7.779006776;7.994096129;8.014089955;breast cancer;;
GSM1876439;6.448682259;9.110463253;8.406912329;8.374212199;8.57499336;breast cancer;;
GSM1876440;3.977822195;9.867796699;8.2297441;7.549450782;7.617776263;breast cancer;;
GSM1876441;4.676319241;8.261886076;8.072993251;7.799738678;8.14798414;breast cancer;;
GSM1876442;7.309323041;10.0506689;8.068177581;8.570689616;7.484765759;breast cancer;;
GSM1876443;5.383379555;9.667788551;8.586778695;8.507046791;8.125949156;breast cancer;;
GSM1876444;6.235814;9.747061866;8.00455238;8.285671796;8.455122599;breast cancer;;
GSM1876445;3.594307699;8.842734464;8.609658678;7.777652332;9.920178659;breast cancer;;
GSM1876446;8.632508513;9.41194594;7.658275112;8.074500603;8.310808313;breast cancer;;
GSM1876447;3.171973377;8.7987877;8.563258609;7.334679586;7.691785866;breast cancer;;
GSM1876448;10.15576795;9.713699211;8.257204556;8.775573504;9.221521253;breast cancer;;
GSM1876449;7.984360749;9.989673372;6.833609977;8.550528039;8.629847816;breast cancer;;
GSM1876450;5.230937347;9.499094929;8.510646409;8.373250662;8.316551992;breast cancer;;
GSM1876451;3.730468465;9.026790949;8.205875824;7.496159326;7.800616445;breast cancer;;
GSM1876452;8.034492545;9.928274183;8.263537697;8.932371616;7.586799476;breast cancer;;
GSM1876453;8.937489248;10.24082289;8.17356927;9.037232479;7.722038806;breast cancer;;
GSM1876454;7.855463764;9.47290214;8.484148765;8.797157784;9.031331859;breast cancer;;
GSM1876455;5.315218312;9.324810392;8.18154573;8.669937531;8.677311009;breast cancer;;
GSM1876456;7.306508956;9.300764804;8.184101865;8.423436296;8.846481563;breast cancer;;
GSM1876457;7.103370733;9.20846055;8.016237453;8.790678266;8.316690805;breast cancer;;
GSM1876458;5.320974202;9.743966094;8.319020088;8.4232135;8.48427083;breast cancer;;
GSM1876459;6.06832064;8.701099937;8.800392519;8.712776357;8.655396405;breast cancer;;
GSM1876460;4.051310036;8.7668209;8.22628137;8.62466107;7.754217283;breast cancer;;
GSM1876461;5.548339078;9.495765929;7.973382675;8.797708402;7.294237009;breast cancer;;
GSM1876462;5.413284282;9.271126449;7.613646305;8.298920941;7.526846455;breast cancer;;
GSM1876463;7.405723877;9.849928018;7.734511009;8.466412852;8.117682472;breast cancer;;
GSM1876464;8.132512985;9.800531454;8.644368523;8.437730009;8.811234297;breast cancer;;
GSM1876465;3.992669521;9.47772385;7.885035709;8.130916632;7.548202562;breast cancer;;
GSM1876466;6.800182183;9.839179289;8.356909802;8.879656882;7.97905673;breast cancer;;
GSM1876467;6.066644176;9.613643937;8.39929338;8.272772851;8.424845712;breast cancer;;
GSM1876468;6.081894067;9.675574644;8.116346189;8.618926102;7.906003301;breast cancer;;
GSM1876469;4.328226836;9.326224854;8.176458901;8.476420151;8.176854957;breast cancer;;
GSM1876470;5.342820395;9.282356764;7.91371727;8.48362075;8.127978975;breast cancer;;
GSM1876471;4.958159797;8.833714655;8.041002073;8.20185121;8.378376134;breast cancer;;
GSM1876472;4.654999798;8.584151684;8.873509249;8.168343061;9.020879179;breast cancer;;
